,Baseline,Baseline+ABSM,ARIMA,ARIMA+ABSM,LSTM,LSTM+ABSM,GRU,GRU+ABSM,XGB,XGB+ABSM
RMSE,0.028812845491799875,0.019254849047855994,0.018981593514998226,0.019114004717206885,0.018812360903579864,0.018954282717210884,0.01892762961890671,0.018746097537887346,0.018951164515405485,0.018907344750126315
MAE,0.021267321975871202,0.014257916600767745,0.013776611937912317,0.013958903041418705,0.013981547582897574,0.013885902611027312,0.013943753078212278,0.013561833766531464,0.014016341109690212,0.01387008240813344
Error Variance,0.0008300738776073305,0.0003697333675832861,0.00035365871031267117,0.00035865533108584764,0.00034987672867346585,0.00035694214076389805,0.000357905301324233,0.00035133068676568323,0.0003525260781617264,0.00035137276154371814
Trajectory Variance,0.00034937883921991385,2.872812071199563e-05,1.4303107863796512e-07,7.286455791783206e-07,2.4979020963655785e-05,1.5175796761468519e-05,2.0048477381351404e-05,6.656351615674794e-06,1.9153326320520137e-06,1.5366989600806846e-06
