,0
Baseline,0.21518987341772153
Baseline+ABSM,0.31645569620253167
ARIMA,0.4810126582278481
ARIMA+ABSM,0.45569620253164556
LSTM,0.34177215189873417
LSTM+ABSM,0.4936708860759494
