Actual,ARIMA,LSTM,GRU,XGB,ARIMA_ABSM,LSTM_ABSM,GRU_ABSM,XGB_ABSM
0.002592835817616962,0.0006905347021938478,0.0027800703,0.002467738,-0.004430482,0.0019010718997438008,0.0022870991,0.001818192,-0.0039473693
0.014316937714804608,0.0022534724208595246,0.0026719535,0.0027821357,0.0015241517,0.0016285999776029614,0.0026654024,0.0021047834,-0.0042902627
0.006585182775135621,0.003661860259265219,0.0036943457,0.00427455,-0.0065645794,0.0027427776109286046,0.0035066644,0.0021293412,-0.0036950093
0.013188994600479726,0.00403477175718831,0.0044772923,0.0047500897,-0.0013861941,0.0027813138805675816,0.0042188433,0.0030663286,-0.004153711
-0.011599053776261225,0.004238805401659777,0.0058152955,0.0057149497,0.0004879945,0.0027198533577947855,0.004062487,0.003551581,-0.0034095685
-0.009126586853710017,0.00374853615779261,0.005647133,0.0034240612,4.1331845e-05,0.0029798579058869083,0.0046727303,0.0033729179,-0.0034645204
0.0025018777123241554,0.0032203204042134093,0.00491272,0.0010631315,0.0002672148,0.003142472217001728,0.0057019633,0.0033564102,-0.002607456
0.014536533834171205,0.0036396381132624157,0.004474071,0.0006714416,-0.0025176099,0.0027757202648503267,0.0057373196,0.0030725722,-0.0029874796
0.013016358088818472,0.0037934049614174376,0.0048227888,0.0024241013,0.0010693303,0.002961327026912215,0.0061318655,0.0026618901,-0.0023803676
-9.721469231456281e-05,0.0037349454502189922,0.005190154,0.0041596587,-0.0012682388,0.002839451200421304,0.0065895333,0.002949116,-0.0019662918
0.0,0.003681413388780899,0.00509329,0.0038729222,-0.0014535945,0.003361369630059772,0.0061804415,0.0029652934,-0.002367086
0.013474304337329488,0.003643878526526114,0.0050025643,0.0031306224,-0.0018780964,0.0037486391729628157,0.0051335962,0.003113529,-0.0016303468
-0.0037487661307363655,0.0036437507087115923,0.0050598653,0.0040959446,-0.0029888505,0.0033464943501263274,0.006040532,0.0027783283,-0.0023577525
-0.0019278972164996349,0.003694369532885492,0.004811883,0.003147378,-0.0007983052,0.0030219593947496716,0.0069486564,0.0031884222,-0.0022954235
-0.007505906590236302,0.003692368835960381,0.0041042934,0.002103218,-0.0029347807,0.003235993483549736,0.007528464,0.002214389,-0.0031554068
0.018970189648843266,0.003675523006308963,0.0039194045,0.0006061527,0.0011434187,0.003320096071046938,0.007768584,0.0019988623,-0.0026771913
-0.018144228835319694,0.0036712811256816276,0.0047788345,0.002665858,-0.0022452807,0.00407411918788598,0.006999291,0.0023011393,-0.0028283475
0.022712448845465374,0.0036736689368525297,0.003735368,0.0004491416,-7.5355914e-05,0.004298589810779106,0.0065112854,0.0030091438,-0.002569518
0.009779659326982307,0.0036768675756637353,0.0038504465,0.0028043224,-0.003680777,0.003940232807709028,0.0053932206,0.0025390126,-0.0019457912
0.0025355239519645207,0.00367962007224692,0.0041886778,0.0042058234,-0.0009847042,0.0031808286033674724,0.0046614874,0.0031463476,-0.001413892
0.010217807297604473,0.003677178723857841,0.0047373497,0.004186988,-0.0017309048,0.003216846685558406,0.0054284655,0.0025830143,-0.0006944318
-0.046022865218732625,0.0036755903126705603,0.0054618544,0.0047444855,-0.0020599754,0.0023510813619724773,0.005144281,0.0031749934,6.0369202e-05
0.03392747560866929,0.0036761177019612465,0.0026363193,-0.0019097081,0.00015338641,0.0019640143224018297,0.00445277,0.0031819437,0.0005940631
0.0037516459152132685,0.003676815912793692,0.0033986825,0.0012926104,-0.004391895,0.002601886746133016,0.0039156997,0.003208758,0.00020265073
0.004949395123824894,0.0036769536121345247,0.003822121,0.002452817,-0.00023089003,0.0021890029406614383,0.003798077,0.0028746496,5.8007477e-05
-0.006635825560429984,0.0036768497788143774,0.004467701,0.0030583714,-0.003930379,0.002938104997527921,0.0037162518,0.0029363753,0.00039120688
0.07198910551627909,0.0036765504380295248,0.0034389535,0.0018211037,0.000384398,0.0027375416132380138,0.004302903,0.0020946246,-0.00018936192
-0.00165933790688531,0.003676545821572016,0.007876301,0.010428735,-0.0021993218,0.0033985047270877083,0.0046900646,0.0030701016,-4.0763523e-05
0.033350790823051465,0.0036766853520250457,0.00859757,0.01042186,-0.0018671275,0.002837816264073405,0.005550226,0.0037331798,0.0006442015
0.007999032087790453,0.0036767290407679243,0.01075752,0.01254772,0.0010949281,0.0028336627547181784,0.0055426024,0.0044827145,0.0009638199
0.005186085376627347,0.0036766920906340242,0.012056942,0.011615246,-0.0010048419,0.002923117736963021,0.0069013587,0.005725662,-6.798643e-05
0.00789466866160524,0.003676664238640747,0.012226259,0.009648157,-0.0010450011,0.0026566363378692304,0.0067577716,0.0052724387,-0.0004191347
0.004377499311697529,0.003676653714241534,0.014097479,0.008301387,-0.0026402494,0.0029126365015324,0.008154447,0.005752578,-0.0007165421
0.004522476062804739,0.0036766703373718687,0.012278418,0.006691336,-0.0012339589,0.00306967537557134,0.008483596,0.0054869633,-0.0011767109
-0.010888562065852274,0.0036766822252235188,0.011587382,0.0055536777,-0.0029850525,0.004156642062313989,0.008137723,0.0045652464,-0.0014843134
0.008588726285726234,0.0036766781004949406,0.009919106,0.0027868159,-0.0010159976,0.004350037598765935,0.007526689,0.004786279,-0.0022377842
0.009574992850938316,0.003676671485529605,0.009327983,0.0027036737,-0.0011958072,0.004123709759452539,0.0071493797,0.00427021,-0.003004123
-0.003671824794232858,0.0036766709091452464,0.0062518786,0.0032614025,-0.00044937147,0.004627924854789819,0.0068153865,0.003925099,-0.0035671156
-0.01914729867391751,0.003676672614535779,0.0058992174,0.0024836992,-0.00297535,0.004778981420702104,0.006702988,0.0037176814,-0.00306944
0.007802184756043201,0.003676674462034073,0.0031589335,-0.0006436094,-0.0023371752,0.0048967109008398275,0.0062372913,0.0030268023,-0.0020212946
-0.006469870765370059,0.0036766743631273507,0.0025210092,-0.00015324946,-0.00091838284,0.005631341392651446,0.0058573643,0.00278839,-0.0018777425
-0.009867889805861148,0.0036766733093409145,0.0017379904,-0.00068180053,-0.0011538414,0.004988420357048811,0.004760579,0.0027792193,-0.0018090083
-0.013026765379883136,0.0036766729565900964,0.00060788606,-0.0017884037,-0.00095368474,0.004514873136730857,0.005037425,0.0030977367,-0.0012541313
-0.004266218074733779,0.0036766733174534833,-0.0006363727,-0.0032075269,-0.0023671126,0.003634497820804087,0.004495256,0.0025041897,-0.0013275951
-0.022919922229423108,0.0036766735675900857,-0.0014866015,-0.0032741737,-0.00093903026,0.0041948266127907145,0.0035531437,0.0012743929,-0.0018564921
-0.03971077197014579,0.0036766735821983734,-0.0025375504,-0.0053466624,-0.0025924898,0.004884474224965467,0.0020940301,0.001211032,-0.0021856274
0.012394379026509465,0.0036766734499557286,-0.005644146,-0.009745861,-0.0020080658,0.004169938203033381,0.0013923792,-0.0001485142,-0.0029484264
-0.0191536525657631,0.0036766733725370868,-0.0064145112,-0.006968658,-0.0013372722,0.004729453516477985,-1.0773423e-05,-0.0015563364,-0.0027412386
-0.005422082495221844,0.003676673407922226,-0.007112481,-0.007049099,0.00016808744,0.004248918171338644,-0.0011012659,-0.0019302204,-0.0013007659
-0.03583532491965254,0.0036766734618959426,-0.00664243,-0.0059773214,-0.0018684885,0.003106631494327142,-0.0017258831,-0.0015967478,-0.00057828333
0.018640792985962506,0.003676673464157464,-0.008632759,-0.008905412,-0.0030089847,0.003522289495171877,-0.0025692284,-0.0020477304,-0.0007199962
-0.0018767013968632158,0.0036766734453751097,-0.0076462463,-0.0050642015,-0.00070562615,0.003994702257835584,-0.003735865,-0.0020971324,-0.0005388326
0.004778737279805448,0.0036766734331977503,-0.006476117,-0.003026177,-0.0014148814,0.0036192928286839796,-0.0039389366,-0.0018539391,-0.0007544502
-0.019729741496011383,0.0036766734359987346,-0.0047902483,-0.0009859571,-0.0015735441,0.003078163765151129,-0.0032497859,-0.0018023055,-0.00079997024
0.008638314174814489,0.003676673443908693,-0.004677119,-0.0025806814,-0.0017744281,0.0033131065718121303,-0.0035615189,-0.0023441515,0.00025994953
-0.024978546637246395,0.0036766734462127734,-0.0029632137,-0.0010827205,-0.0014680857,0.004005044066566522,-0.0038112144,-0.0027931344,-4.330541e-06
-0.0010665396336343215,0.0036766734430896315,-0.0022168981,-0.0034337847,-0.0029215368,0.0036354995111439405,-0.0041714986,-0.0036013513,0.0005984923
0.028499515536560625,0.003676673441000084,-0.0030333847,-0.0033358515,-0.0018625984,0.004244957377308794,-0.0039893636,-0.0036143388,0.0005105215
-0.039522451669414725,0.003676673441272779,-0.0006406483,0.001290906,-0.0009267376,0.0036606797793663826,-0.003526735,-0.0026534633,-0.00036068802
-0.04012742581872273,0.0036766734423927,-0.0016251671,-0.0026719125,-0.00012981056,0.0034158077977408156,-0.0032516052,-0.0024292753,-0.00029320648
0.03845853796539895,0.0036766734428577983,-0.0029302225,-0.008060224,-0.0025860386,0.0034566593223911506,-0.003692864,-0.0031033235,-0.00083551544
0.0005893690549704024,0.0036766734425255593,-0.002876547,-0.0026525424,-0.0013058346,0.0043797141637375485,-0.0027572555,-0.004199423,-0.00017783028
0.013992355060717472,0.0036766734421172773,-0.0020912315,-0.0004365772,-0.0018653652,0.00442495890427151,-0.0033060762,-0.0029704133,-0.0003928339
-0.0022780472330131605,0.0036766734421213917,-0.0008203227,0.0022285236,-0.00051201927,0.004529711454662557,-0.002982765,-0.0028188135,-0.0013331337
0.02968875183280647,0.003676673442296157,0.0007929916,0.0024097292,-0.0034667149,0.004863393651630666,-0.0025923147,-0.0030745864,-0.001531741
-0.01950214106215807,0.0036766734423791586,0.0026352792,0.0058489507,0.00015003225,0.004489430266557359,-0.0026163706,-0.0013639987,-0.0017350817
